epochs,Clean training ACC,Poisoned training ACC,Poisoned training ASR,Batch-level |features|,TPR KMeans,FPR KMeans,TPR Gaussian,FPR Gaussian,Retrain ACC,Retrain ASR
5,0.735,,,,,,,,,
5,,0.7352,0.98,,,,,,,
1,,,,13110,,,,,,
25,,,,,93.6,7.6,96.4,10.0,,
5,,,,,,,,,0.732,0.64
2,,,,0,,,,,,
2,,,,4347,,,,,,
10,,,,,89.6,8.8,93.6,14.8,,
3,,,,2349,,,,,,
10,,,,,89.6,8.8,95.6,11.6,,
5,,,,,,,,,0.7376,0.38
25,,,,,90.0,7.6,98.8,16.8,,
4,,,,1592,,,,,,
25,,,,,90.0,7.6,98.8,18.4,,
5,,,,,,,,,0.738,0.0
25,,,,,90.4,8.8,98.8,16.4,,
25,,,,,93.2,9.6,99.2,16.8,,
5,,,,,,,,,0.7334,0.0
25,,,,,95.2,4.0,100.0,22.8,,
25,,,,,95.2,4.0,100.0,22.8,,
25,,,,,94.8,3.6,100.0,24.0,,
10,,,,,88.4,8.4,97.6,18.8,,
1,,,,0,,,,,,
1,,,,0,,,,,,
1,,,,0,,,,,,
1,,,,13110,,,,,,
1,,,,12979,,,,,,
1,,,,0,,,,,,
1,,,,12684,,,,,,
1,,,,0,,,,,,
1,,,,11854,,,,,,
1,,,,7702,,,,,,
10,,,,,86.4,8.4,97.6,17.6,,
1,,,,0,,,,,,
1,,,,13110,,,,,,
1,,,,1997,,,,,,
1,,,,1997,,,,,,
25,,,,,96.4,0.8,100.0,6.0,,
5,,,,,,,,,0.7388,0.0
